Stats
Avg,Stdev,Max,Stdev
2.56ms,1.08ms,12.94ms,80.01%,Latency,Perfect
308.93,368.36,3.27k,98.27%,Req/Sec,Perfect
2.55ms,664.43us,8.00ms,67.51%,Latency,Vapor
73.58,104.87,333.00,69.29%,Req/Sec,Vapor
13.31ms,3.18ms,35.26ms,73.31%,Latency,Kitura
261.57,838.83,3.60k,91.29%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
2.56ms,1.08ms,12.94ms,80.01%,Latency,Perfect
308.93,368.36,3.27k,98.27%,Req/Sec,Perfect
2.55ms,664.43us,8.00ms,67.51%,Latency,Vapor
73.58,104.87,333.00,69.29%,Req/Sec,Vapor
13.31ms,3.18ms,35.26ms,73.31%,Latency,Kitura
261.57,838.83,3.60k,91.29%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
2.56ms,1.08ms,12.94ms,80.01%,Latency,Perfect
308.93,368.36,3.27k,98.27%,Req/Sec,Perfect
2.55ms,664.43us,8.00ms,67.51%,Latency,Vapor
73.58,104.87,333.00,69.29%,Req/Sec,Vapor
13.31ms,3.18ms,35.26ms,73.31%,Latency,Kitura
261.57,838.83,3.60k,91.29%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
2.56ms,1.08ms,12.94ms,80.01%,Latency,Perfect
308.93,368.36,3.27k,98.27%,Req/Sec,Perfect
2.55ms,664.43us,8.00ms,67.51%,Latency,Vapor
73.58,104.87,333.00,69.29%,Req/Sec,Vapor
13.31ms,3.18ms,35.26ms,73.31%,Latency,Kitura
261.57,838.83,3.60k,91.29%,Req/Sec,Kitura
Stats
Avg,Stdev,Max,Stdev
2.56ms,1.08ms,12.94ms,80.01%,Latency,Perfect
308.93,368.36,3.27k,98.27%,Req/Sec,Perfect
2.55ms,664.43us,8.00ms,67.51%,Latency,Vapor
73.58,104.87,333.00,69.29%,Req/Sec,Vapor
13.31ms,3.18ms,35.26ms,73.31%,Latency,Kitura
261.57,838.83,3.60k,91.29%,Req/Sec,Kitura
