Stats
CPU,Threads,Memory,Framework
5.1,11,2340.0,Perfect
4.6,11,2340.0,Perfect
4.1,11,2340.0,Perfect
5.0,11,2340.0,Perfect
4.8,11,2340.0,Perfect
4.9,11,2340.0,Perfect
4.9,11,2340.0,Perfect
4.7,10,2328.0,Perfect
4.8,10,2328.0,Perfect
5.0,10,2328.0,Perfect
4.8,10,2328.0,Perfect
5.5,10,2328.0,Perfect
5.3,12,2340.0,Perfect
5.4,12,2340.0,Perfect
5.4,12,2340.0,Perfect
5.1,12,2340.0,Perfect
5.2,12,2340.0,Perfect
5.2,12,2340.0,Perfect
5.2,10,2320.0,Perfect
5.2,10,2320.0,Perfect
5.2,10,2320.0,Perfect
4.9,10,2320.0,Perfect
5.2,10,2320.0,Perfect
5.1,10,2320.0,Perfect
5.1,10,2320.0,Perfect
5.1,10,2320.0,Perfect
5.2,10,2328.0,Perfect
5.0,10,2332.0,Perfect
5.1,10,2332.0,Perfect
5.0,10,2332.0,Perfect
5.1,10,2332.0,Perfect
4.4,9,2320.0,Perfect
3.3,9,2320.0,Perfect
4.9,9,2320.0,Perfect
5.0,9,2320.0,Perfect
4.8,9,2320.0,Perfect
4.9,9,2320.0,Perfect
5.0,9,2320.0,Perfect
5.2,8,2308.0,Perfect
5.0,8,2308.0,Perfect
5.1,8,2308.0,Perfect
4.6,8,2308.0,Perfect
6.1,8,2308.0,Perfect
5.2,8,2308.0,Perfect
5.3,11,2332.0,Perfect
5.2,11,2332.0,Perfect
5.3,11,2332.0,Perfect
5.2,12,2344.0,Perfect
5.3,12,2352.0,Perfect
5.2,12,2352.0,Perfect
5.2,12,2352.0,Perfect
4.9,12,2352.0,Perfect
5.0,12,2352.0,Perfect
5.2,12,2352.0,Perfect
5.2,11,2340.0,Perfect
5.2,11,2340.0,Perfect
5.1,10,2328.0,Perfect
5.1,10,2328.0,Perfect
4.6,10,2328.0,Perfect
5.0,10,2328.0,Perfect
4.9,10,2328.0,Perfect
4.4,10,2328.0,Perfect
3.7,10,2328.0,Perfect
5.0,10,2328.0,Perfect
5.0,10,2328.0,Perfect
5.0,10,2324.0,Perfect
5.1,10,2324.0,Perfect
5.1,10,2324.0,Perfect
5.2,11,2328.0,Perfect
5.1,11,2328.0,Perfect
5.1,11,2328.0,Perfect
4.6,11,2328.0,Perfect
6.6,11,2328.0,Perfect
5.2,11,2336.0,Perfect
5.2,11,2336.0,Perfect
5.3,11,2336.0,Perfect
5.1,11,2336.0,Perfect
5.2,11,2340.0,Perfect
5.3,11,2340.0,Perfect
5.3,11,2336.0,Perfect
5.2,11,2340.0,Perfect
5.0,11,2340.0,Perfect
5.0,11,2344.0,Perfect
5.1,10,2336.0,Perfect
4.8,12,2348.0,Perfect
4.9,12,2348.0,Perfect
4.8,12,2348.0,Perfect
4.9,12,2348.0,Perfect
4.9,12,2348.0,Perfect
5.0,10,2324.0,Perfect
4.9,11,2336.0,Perfect
4.3,11,2336.0,Perfect
4.5,11,2336.0,Perfect
5.1,11,2336.0,Perfect
5.1,11,2336.0,Perfect
5.2,9,2312.0,Perfect
5.1,9,2312.0,Perfect
5.0,9,2312.0,Perfect
5.1,9,2312.0,Perfect
5.2,9,2312.0,Perfect
5.1,9,2312.0,Perfect
4.6,9,2320.0,Perfect
6.4,9,2324.0,Perfect
5.3,9,2324.0,Perfect
5.1,9,2324.0,Perfect
5.3,10,2324.0,Perfect
5.1,10,2324.0,Perfect
5.2,10,2324.0,Perfect
5.2,10,2336.0,Perfect
5.2,10,2336.0,Perfect
5.1,1.0,2336.0,Perfect
4.9,10,2336.0,Perfect
4.3,11,2356.0,Perfect
4.8,11,2356.0,Perfect
4.9,11,2356.0,Perfect
4.9,11,2356.0,Perfect
4.8,11,2356.0,Perfect
4.7,11,2356.0,Perfect
4.8,10,2348.0,Perfect
4.8,9,2336.0,Perfect
4.9,9,2336.0,Perfect
4.6,9,2336.0,Perfect
5.1,9,2336.0,Perfect
